Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Rizal St 1,Proper - 5,Proper - 3,1371.54,Active,3585.28,3654.79,4170.87,No
Rizal St 2,Proper - 5,Proper - 6,1749.51,Active,3585.28,3664.66,4762.61,No
Rizal St 2 (Rev),Proper - 6,Proper - 5,1450.36,Active,3585.28,3666.26,4858.88,No
Rizal St 3,Proper - 6,Proper - 14,954.07,Active,3585.28,3633.34,2883.45,No
Ledesma St,Proper - 6,Proper - 11,971.56,Active,3585.28,3609.45,1450.34,No
Gen Luna St 1 (Rev),Proper - 7,Proper - 1,1150.32,Active,3585.28,3632.29,2820.78,No
Gen Luna St 2,Proper - 7,Proper - 8,1662.94,Active,3585.28,3638.0,3163.04,No
Bonifacio Drive,Proper - 7,lapaz - 10,2237.15,Active,3585.28,3639.93,3278.9,No
Gen Luna St 2 (Rev),Proper - 8,Proper - 7,2251.83,Active,3585.28,3646.12,3650.37,No
Gen Luna St 3,Proper - 8,Proper - 9,1346.79,Active,3585.28,3642.76,3448.52,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,1359.96,Active,3585.28,3637.88,3156.05,No
Gen Luna St 3 (Rev),Proper - 9,Proper - 8,1776.69,Active,3585.28,3661.81,4591.53,No
Muelle Loney St 1,Proper - 9,Proper - 12,1338.33,Active,3585.28,3647.7,3744.97,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,1287.97,Active,3585.28,3672.96,5260.69,No
Ruperto Montinola St 1 (Rev),Proper - 10,Proper - 8,1518.95,Active,3585.28,3648.4,3786.91,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,2242.63,Active,3585.28,3650.7,3925.35,No
Delgado St (Rev),Proper - 10,Proper - 2,987.41,Active,3585.28,3627.04,2505.84,No
Ledesma St (Rev),Proper - 11,Proper - 6,473.18,Active,3585.28,3610.28,1499.84,No
Ruperto Montinola St 2 (Rev),Proper - 11,Proper - 10,2531.34,Active,3585.28,3668.78,5009.99,No
Arroyo St (Rev),Proper - 11,Proper - 12,791.96,Active,3585.28,3622.14,2211.74,No
JM Basa St 1,Proper - 11,Proper - 13,2230.5,Active,3585.28,3744.04,9525.72,No
Arroyo St,Proper - 12,Proper - 11,719.78,Active,3585.28,3623.22,2276.6,No
Muelle Loney St 1 (Rev),Proper - 12,Proper - 9,1348.77,Active,3585.28,3652.4,4027.25,No
Muelle Loney St 2,Proper - 12,Proper - 18,2012.15,Active,3585.28,3790.74,12327.32,No
JM Basa St 1 (Rev),Proper - 13,Proper - 11,2093.02,Active,3585.28,3746.22,9656.19,No
JM Basa St 2,Proper - 13,Proper - 14,1534.47,Active,3585.28,3689.68,6264.06,No
Dela Rama St 1,Proper - 13,Proper - 17,1066.24,Active,3585.28,3639.36,3244.65,No
Rizal St 3 (Rev),Proper - 14,Proper - 6,1153.29,Active,3585.28,3637.67,3143.19,No
JM Basa St 2 (Rev),Proper - 14,Proper - 13,1405.69,Active,3585.28,3692.17,6413.66,No
General Hughes St 1,Proper - 14,Proper - 15,2216.81,Active,3585.28,3868.65,17002.32,No
General Hughes St 1 (Rev),Proper - 15,Proper - 14,2287.25,Active,3585.28,3872.69,17244.69,No
Duran St,Proper - 15,Proper - 16,661.9,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 662 vol,N/A
General Hughes St 2,Proper - 15,Proper - 22,893.01,Active,3585.28,3675.99,5442.54,No
Duran St (Rev),Proper - 16,Proper - 15,661.9,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 662 vol,N/A
Dela Rama St 1 (Rev),Proper - 17,Proper - 13,1057.54,Active,3585.28,3645.03,3585.04,No
Dela Rama St 2,Proper - 17,Proper - 20,661.9,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 662 vol,N/A
Blumentritt 1,Proper - 17,Proper - 18,1400.1,Active,3585.28,3664.11,4729.78,No
Blumentritt 2,Proper - 17,Proper - 19,1092.69,Active,3585.28,3614.86,1774.53,No
Blumentritt 1 (Rev),Proper - 18,Proper - 17,1461.84,Active,3585.28,3663.06,4666.68,No
