From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
lapaz - 3,lapaz - 1,Luna St - Huervana St,761.8,2200,0.346
lapaz - 4,lapaz - 2,Huervana St - Burgos St (Rev),1096.7,2200,0.499
lapaz - 4,lapaz - 5,Huervana St - Jereos St,1210.79,4400,0.275
lapaz - 4,lapuz - 1,Divinagracia St,0.0,1100,0.0
lapaz - 5,lapaz - 6,Jereos St - Huervana Ext,1135.99,4400,0.258
lapaz - 5,lapaz - 8,Lopez Jaena St,1182.2,2200,0.537
lapaz - 6,lapaz - 7,Huervana Ext,1135.2,3300,0.344
lapaz - 6,jaro - 3,Jereos St,54.79,1100,0.05
lapaz - 7,lapaz - 4,Burgos St - Huervana St,1210.0,4400,0.275
lapaz - 7,jaro - 2,Burgos St,12.3,1100,0.011
lapaz - 8,lapaz - 5,Lopez Jaena St (Rev),1107.4,2200,0.503
lapaz - 8,lapaz - 9,Baldoza St,1182.2,2200,0.537
lapaz - 9,lapaz - 8,Baldoza St (Rev),1107.4,2200,0.503
lapaz - 9,lapuz - 7,Coastal Rd,130.9,2200,0.06
lapaz - 9,jaro - 19,Monfort Blvd,1512.9,2200,0.688
lapaz - 10,Proper - 7,Bonifacio Drive (Rev),761.8,2200,0.346
lapaz - 10,lapaz - 1,Luna St - Esplanade 5 (Rev),1189.69,2200,0.541
lapuz - 1,lapaz - 4,Divinagracia St (Rev),0.0,1100,0.0
lapuz - 1,lapuz - 3,Railroad St,0.0,1100,0.0
lapuz - 2,Proper - 9,Quirino - Lopez Bridge (Rev),2516.8,2200,1.144
lapuz - 2,lapaz - 2,Rizal St - Huervana St (Rev),0.0,2200,0.0
lapuz - 2,lapuz - 4,Rizal St - Ferry Terminal Access Rd,584.1,2200,0.266
lapuz - 3,lapuz - 1,Railroad St (Rev),0.0,1100,0.0
lapuz - 4,lapuz - 2,Rizal St - Ferry Terminal Access Rd (Rev),584.1,2200,0.266
lapuz - 4,lapuz - 5,New Iloilo Ferry Terminal Access Rd,0.0,3300,0.0
lapuz - 4,lapuz - 6,Rizal St - Iloilo Airport Direct Rd,584.1,2200,0.266
lapuz - 5,lapuz - 4,New Iloilo Ferry Terminal Access Rd (Rev),0.0,3300,0.0
lapuz - 6,lapuz - 4,Rizal St - Iloilo Airport Direct Rd (Rev),584.1,2200,0.266
lapuz - 6,lapuz - 7,Lapuz Mansaya Loboc Rd,0.0,2200,0.0
lapuz - 6,lapuz - 8,Iloilo Airport Direct Rd,0.0,1100,0.0
lapuz - 7,lapaz - 9,Coastal Rd (Rev),130.9,2200,0.06
lapuz - 7,lapuz - 6,Lapuz Mansaya Loboc Rd (Rev),0.0,2200,0.0
lapuz - 8,lapuz - 6,Iloilo Airport Direct Rd (Rev),0.0,1100,0.0
